PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
-71193.1417692626;20098.903494258;5377.6266470439;7546.75942619512;-8197.95636576763;-2050.59441527362;1058.22128767126;3511.0512875138;-3743.72745179563;-1759.9801429426;-5845.88774582403;-535.966344747956;-319.259346404618;-1347.04937057287;-2752.29075984155;28388uniboc-l1-s1-f1-c2-d0.png;28388uniboc;boc;uni;28388uniboc-l1-s1-f1-c2-d0
27977.386945321;-30424.2344680086;-22753.3981809774;8211.42296857308;338.973395307388;367.99041430713;21420.6123850635;20911.5616184315;-11745.389931445;8705.91980852261;546.877337304733;12436.4951141718;7942.94882338999;10259.6555841956;-4542.33830254809;PL17_127indbel-l6-s4-f4-c2-d1.png;PL17_127indbel;bel;ind;PL17_127indbel-l6-s4-f4-c2-d1
-71040.0714165269;19672.3098044729;2977.65307907199;7205.72552899728;-7217.55493356287;-2318.08233126006;2877.324722575;3791.16763135636;-2366.93197490241;-271.869162029203;-4013.09895631889;892.101199902318;2477.1257559432;-1499.87269846058;-1556.21829485569;PL17_137uniflo-l4-s4-f4-c2-d1.png;PL17_137uniflo;flo;uni;PL17_137uniflo-l4-s4-f4-c2-d1
-42922.9129162696;-25294.7543115719;-8248.36804325681;-16798.7256300655;7290.5493717134;-8943.92058096828;-12383.7014809511;-7799.77796624144;3884.71320952644;-2227.642945601;873.809783636476;2247.92197055202;6134.86507642112;-4363.26251693465;-3274.31650226009;PL17_139pueflo-l1-s4-f4-c2-d1.png;PL17_139pueflo;flo;pue;PL17_139pueflo-l1-s4-f4-c2-d1
-13483.2549979677;-27338.6081873166;-26591.5011880195;-3614.59043377889;21500.1574998064;-5309.98438095217;11591.5922588447;-8115.9767988904;-2172.89242611519;-11830.782170243;17056.5738616217;-20673.8227109978;-8455.49579075926;-4562.27356265542;-481.149551354991;PL17_160pueflo-l1-s4-f4-c2-d1.png;PL17_160floflo;flo;flo;PL17_160pueflo-l1-s4-f4-c2-d1
-67476.1212835569;14912.3620011676;5964.27068321137;4743.51165541333;-12519.3829938312;787.732234180281;11995.9181791359;2441.8847673968;-3505.51516574705;-4711.13300581919;-7432.34596091984;181.682035701185;-897.01508269421;-4307.51711241899;-2650.35339633197;PL17_74unipor-l1-s3-f3-c2-d1.png;PL17_74unipue;pue;uni;PL17_74unipor-l1-s3-f3-c2-d1
-73280.0773839792;18585.5529274087;-249.169736493686;4146.74895995197;-7818.19843462959;793.456350771384;-3057.84536039052;978.421778301571;-1214.67894592252;1950.69262321606;-3105.98190753062;-1675.89036954346;-3099.65810044571;1185.3221700441;-1510.39303573648;PL17_04pueboc-l1-s2-f1-c2-d0.png;PL17_04pueboc;boc;pue;PL17_04pueboc-l1-s2-f1-c2-d0
-20518.3441116934;-25121.0713027881;-26956.4506664809;-272.949463858144;23041.0624455659;-4110.49377663032;-10946.5812621545;8311.18300548577;-8847.32998031449;22209.4246171913;-10533.298489684;-1780.27372468751;3471.8983966852;3796.19823815713;4730.01578247843;PL17_132indbel-l2-s4-f4-c2-d1.png;PL17_132indbel;bel;ind;PL17_132indbel-l2-s4-f4-c2-d1
-68568.8934466431;10124.1092180972;-647.705637482213;196.149491301171;-4376.01727651083;-3720.36044337863;-4677.4474146303;-4720.49705846373;-2906.89046297641;3349.8226244076;-5868.4223407;-1541.91677186773;370.75244146696;2483.21222931626;-2481.82789164663;PL17_110puebel-l1-s4-f4-c2-d1.png;PL17_110puebel;bel;pue;PL17_110puebel-l1-s4-f4-c2-d1
-50743.8516666926;16033.0239347374;35535.2092161624;22167.80151832;2265.13280292765;-16110.3813794727;4704.59518759182;10853.9910679173;-2213.92362625899;1940.32831985003;3323.9673344585;-3145.46689028966;-1441.57814969155;953.958248444797;3883.35059657879;PL17_70unipor-l1-s3-f3-c2-d1.png;PL17_70unipue;pue;uni;PL17_70unipor-l1-s3-f3-c2-d1
-71047.5043587753;20204.0999726904;6121.2427837504;8426.95445762364;-6798.17003056722;-2217.59670044446;893.344416578817;2929.65294671605;-3472.54213961055;-1734.95959845103;-5404.97388620931;-545.429966966235;-1419.06885791864;-1433.6319936688;-2147.22416669038;PL17_136uniflo-l5-s4-f4-c2-d1.png;PL17_136uniflo;flo;uni;PL17_136uniflo-l5-s4-f4-c2-d1
99081.1458531921;28793.5040007668;3441.34196966116;-23177.693978569;-4184.55603869769;-1666.48485284225;829.340417036975;3421.11490252614;-4386.01093814432;-1384.2258848459;-1444.1309864384;2086.8885383204;-3258.26472082048;-2481.41385314516;-1143.69462579729;PL17_087nigbel-l4-s4-f4-c2-d1.png;PL17_87nigbel;bel;nig;PL17_087nigbel-l4-s4-f4-c2-d1
-71354.6072848869;21407.0179595479;3142.39005363802;7082.88516118536;-7911.89984275058;-4336.65111606547;2488.49779769783;4070.89724546971;-2806.74929397753;-887.975103475119;-3708.16523732536;956.183762227408;-38.2707352279358;-252.159409490061;-2901.08526443299;PL17_135uniflo-l6-s4-f4-c2-d1.png;PL17_135uniflo;flo;uni;PL17_135uniflo-l6-s4-f4-c2-d1
97807.2860256552;26738.1992744101;1955.49806481856;-18195.5589211014;-5712.86487790312;-3752.66134109668;605.471360803873;1456.65442688621;-2306.23613770746;-934.689619605172;47.5469250087836;2209.11248101985;-2926.01792487397;-29.4484459870261;639.72383968366;28394nigboc-l1-s1-f1-c2-d0.png;28394nigboc;boc;nig;28394nigboc-l1-s1-f1-c2-d0
31513.225477223;-33719.9311104308;20788.9969439262;22600.1848041015;17320.7514855178;13678.4797068107;3389.54103124713;-7019.35105780832;-5465.78058544241;-9541.1067941962;4645.77417870649;-280.470674857807;-18089.9613033568;-6901.17183321331;-3215.69964683557;PL17_39chlpor-l1-s3-f3-c2-d1.png;PL17_39chlpue;pue;chl;PL17_39chlpor-l1-s3-f3-c2-d1
60561.9337403917;34189.5197034719;10871.9389477653;-8247.40535704216;50229.1626794667;-4463.96030539728;-7219.82123913427;-6556.40482198646;-335.87445470248;9847.76914785764;-10854.4598751396;-10966.0010335248;5418.49647868426;-8578.15358871798;-6977.94579267556;PL17_093nigbel-l1-s4-f4-c2-d1.png;PL17_93nigbel;bel;nig;PL17_093nigbel-l1-s4-f4-c2-d1
97172.7542573233;29200.5378657111;4822.41423220719;-21904.0080998431;-271.812824985169;-3248.36172574446;490.290500393696;855.359457912502;-3773.57985564434;1785.05074909276;-6210.01990889798;-567.49748831108;386.711364961092;-765.374289403202;-2390.18910226188;PL17_112nigbel-l1-s4-f4-c2-d1.png;PL17_112nigbel;bel;nig;PL17_112nigbel-l1-s4-f4-c2-d1
28106.1185459498;-38423.2185453999;13067.7806296206;-5453.03772816563;-30030.8311010884;13136.5702829724;-26173.0428025144;15897.8312224168;3142.10594897831;11029.677259358;-338.632755041517;-4980.32419885782;-1880.11506806907;14064.7651267419;7547.8626948275;28366gumboc-l1-s2-f1-c2-d1.png;28366gumboc;boc;gum;28366gumboc-l1-s2-f1-c2-d1
27546.6186468359;-43010.6545610694;19840.6767321628;5020.87668646707;-6930.65603476513;5465.384899804;-5824.58935489692;19015.2003438367;-3710.34766432587;-6490.82251538496;1436.74523963014;-1237.31482439991;-15182.3187715297;1471.57236257;-785.565180549268;PL17_62puepor-l1-s3-f3-c2-d1.png;PL17_62chlpue;pue;chl;PL17_62puepor-l1-s3-f3-c2-d1
97781.0074547669;29743.2822174066;3291.48130122458;-21269.897564992;-730.131358345159;-3082.05331260509;-988.026351922541;2170.72031071004;-5030.68887720839;-660.270283636823;-3729.70170072677;1041.33460414619;-350.254254967067;619.152325045128;-779.952530757563;PL17_108nigbel-l1-s4-f4-c2-d1.png;PL17_108nigbel;bel;nig;PL17_108nigbel-l1-s4-f4-c2-d1
-37363.8897939299;-10169.9746379954;18405.4126133194;7681.65488720973;14575.6169176851;-23087.8935016954;-4141.95587861001;7251.66009101915;-3656.45984858932;-430.465203701422;2692.30744237207;5402.81430156516;20229.7512559434;-4114.64639597722;3724.75101610049;PL17_66unipor-l1-s3-f3-c2-d1.png;PL17_66unipue;pue;uni;PL17_66unipor-l1-s3-f3-c2-d1
-73438.6160250378;18677.7710420197;-146.661274526952;4341.59525889608;-7429.6630569714;336.410144303815;-3597.63539123495;1049.97036750903;-1830.22398610649;1704.12439079476;-3629.21164827647;-1375.28146980262;-3469.21569755904;1692.01169602097;-2093.1466078435;PL17_109puebel-l2-s4-f4-c2-d1.png;PL17_109puebel;bel;pue;PL17_109puebel-l2-s4-f4-c2-d1
-49970.1210958715;34863.6382685595;-13172.2832428666;14997.5569351903;-203.303658810037;5797.61852203751;6183.48709747059;-19916.1467825465;9433.85012367532;-6720.87266456035;14340.5508910269;13502.5740815788;-2951.43737022116;4791.18124366831;610.736267506851;PL17_089maybel-l3-s4-f4-c2-d1.png;PL17_89maybel;bel;may;PL17_089maybel-l3-s4-f4-c2-d1
47003.2418345413;-29823.888699949;17273.5924284669;23759.6834842284;-10.269705619719;21937.2506601328;-5834.76691555229;-1039.3937018787;-212.522340095769;-2062.3291069288;-7857.58566923385;3163.73975446538;8394.71919404264;5933.00802163933;-3471.07318781762;PL17_68gutpor-l1-s3-f3-c2-d1.png;PL17_68gutpue;pue;gut;PL17_68gutpor-l1-s3-f3-c2-d1
-31127.876623276;-27099.1721114986;20665.868219516;-11829.8844429006;-14538.4155405766;-894.881879163486;23382.1429900367;-18212.1972752844;-9998.42042561839;3865.09780616145;-5619.44882267772;-76.8694135876528;12671.6092491344;-4450.04481765852;3861.72674210485;PL17_55unipor-l1-s3-f3-c2-d1.png;PL17_55unipue;pue;uni;PL17_55unipor-l1-s3-f3-c2-d1
-68601.2461967866;24397.9435325234;-576.171912909735;-1182.52273151784;-2783.16275603335;2666.70558790916;-2253.98766473091;414.648422155842;-2857.51783159382;537.248816541202;-1826.88516167739;-390.030460817037;-2779.93253482998;4012.6740167882;103.269750369625;PL17_120maybel-l5-s4-f4-c2-d1.png;PL17_120maybel;bel;may;PL17_120maybel-l5-s4-f4-c2-d1
