,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,images
0,46381.06903048689,-852.9181902212289,6389.478044940584,9829.519424383046,-10298.406704530358,-6770.439785305116,1407.202537358947,-463.64658543132316,2388.7895490277438,-2316.593326559024,-1517.3262165735323,3988.415416821002,2124.668840914271,-158.36171570575976,1025.8344317321091,28388uniboc-l1-s1-f1-c2-d0.png
1,-12492.27822773167,2074.9841950402274,-1641.2405417111836,2759.9521803244124,2868.0885973103145,-625.2988037530894,-4135.281036969994,-2710.367276674747,957.5940835519046,-4344.917867382124,764.706472697623,-872.4518431587481,-2177.2346352231743,-124.42678473052892,1547.7552023933815,PL17_127indbel-l6-s4-f4-c2-d1.png
2,16737.842616863483,-13768.760384819194,539.4207043477215,-5711.656672352269,-5791.061325806038,-1156.8383730305445,-2574.571613673499,651.7641607257641,-93.53616036698138,642.2874638615726,1475.251037996642,2150.809304685552,-96.97148833719787,-703.2484480579907,-1038.9516383226157,PL17_137uniflo-l4-s4-f4-c2-d1.png
3,17703.503134151804,-2886.5904991775387,7200.79206671578,-6354.83449974021,3131.628731828746,-6251.41043752874,2304.4662361210308,2398.1075204947324,-1447.7148010928236,-1184.0783853402668,2988.9593268343606,-321.7821772391034,-106.45516724327064,-1371.5597487253453,-877.3735107048498,PL17_139pueflo-l1-s4-f4-c2-d1.png
4,267.1541764304324,2282.7805024405575,-7748.35477710341,-5821.369533743341,2905.9989416568164,1909.1528933101094,-2107.683947458563,529.5066077430397,-1806.2238941811004,240.5666152148405,-1197.7165129608097,-1741.8048725632218,-372.2350679790208,-274.42695984302526,-224.62550737318884,PL17_160pueflo-l1-s4-f4-c2-d1.png
5,32128.124642081642,-2029.938982196523,-4608.782321402916,7687.26794160315,-10929.235827162707,-2078.330747047065,-7094.6604735499295,1367.6839598582626,-306.301359301603,958.5232257690903,2626.024267275957,-1388.9466011590082,-193.3446412147835,-631.9277896262288,-2674.371979049807,PL17_74unipor-l1-s3-f3-c2-d1.png
6,42103.36660009467,2644.4796658604755,-23157.1433929397,2854.5724037363475,1738.8050596848093,-1611.5871328676433,5449.317959162533,1428.979834327759,6325.960932321613,-2448.7114957446256,-4722.459209678375,-2694.941405779428,-1580.991014215536,-1012.2463818133318,-4679.082195934083,PL17_04pueboc-l1-s2-f1-c2-d0.png
7,-1934.3945354730213,-3097.2641221939466,-2588.82859516332,2508.0306503435077,10222.711852335515,1579.5221963709926,-4946.90547860885,-3989.636423937844,719.59689444381,-3334.475276697763,3769.4216166864994,2537.1905758316802,-2820.351445937052,2247.527022948854,428.02394433505305,PL17_132indbel-l2-s4-f4-c2-d1.png
8,26616.341047097245,-6279.582502127179,-3532.162818644315,-4659.560704057419,5472.375271211261,-3074.271302930006,-2330.25927997874,3225.0229082032747,-2813.3470291372423,292.73386015505776,-1601.0038646157693,-1299.2448809481368,-1053.3237132765062,1349.9365730497168,963.5656881182631,PL17_110puebel-l1-s4-f4-c2-d1.png
9,20344.36909163608,-16060.243680142468,19619.54813428527,-6523.214238475226,2735.6386802642,16279.977159364671,-7094.4128423535085,3309.759114823329,565.5378929548973,-1858.928568492725,1695.7405096644861,-3997.2286775828948,291.5769968312806,-1289.4572877146231,-695.2755590814412,PL17_70unipor-l1-s3-f3-c2-d1.png
10,33203.35413720471,-20425.082766859516,-4240.789052796062,-4892.850298816029,-11525.651022937736,955.034251709814,-4958.3103198255685,14.465382184069375,3576.120505994202,2966.8885977144723,-703.052170320581,1658.7260460213065,104.62185247146694,418.1999908665826,1367.4600380731642,PL17_136uniflo-l5-s4-f4-c2-d1.png
11,-25001.197455770693,-1977.8296289974385,1933.246877985969,-5518.6158553651085,-2284.489414428549,-4753.855822608911,1553.0118912984062,453.1923350757912,2394.32704891598,-1226.0361284681014,-2080.100649563751,-1345.1224747591427,-966.2250803195476,-1718.4167475238182,1397.739954276773,PL17_087nigbel-l4-s4-f4-c2-d1.png
12,15205.87290703959,-20208.136125199817,-7174.087708896993,-4262.388672386513,-10560.846136527936,1041.0436591403104,-722.0555122843905,-1614.0018890200909,891.9167377288251,1283.596889419456,2242.2081808389034,2126.5543581387396,-2268.5821530150183,-2046.886059239554,-1277.3335771710251,PL17_135uniflo-l6-s4-f4-c2-d1.png
13,-28890.751559254448,-803.6617413803361,1179.5162259473716,-5565.429050137709,-2758.578248624005,-3030.188080120781,815.0688766716861,-1625.1597605731458,-1307.455903630202,246.28963132189136,-643.3290172440215,382.14526522584407,193.35118306875177,-161.25914039710958,-176.83726677526013,28394nigboc-l1-s1-f1-c2-d0.png
14,-4803.479969296663,13493.034236083542,2189.4507767001555,-828.5285125562343,427.93586641171174,8591.583638574191,-3694.749809498281,2674.281584775387,391.5791854769157,1798.8765269959874,-2637.4672922646,2545.761085908475,-1924.8517484049821,161.61311858338757,1561.3062942585138,PL17_39chlpor-l1-s3-f3-c2-d1.png
15,-20129.77600809062,-6651.160006330999,1739.872468308946,-5223.089757303046,-1784.796687741101,-330.8915335248054,2047.436862991895,-766.447840330687,1776.3941951864651,-418.2044077742157,-1975.3382510676922,-433.81213937781496,-800.2732780393573,-1529.4163130246013,-173.30413816878092,PL17_093nigbel-l1-s4-f4-c2-d1.png
16,-25500.459414478286,-3667.076871377635,2007.6582216938198,-3443.7297375616854,-1704.9258115611838,-3046.2214735386856,1583.6663307455042,-891.8935766323293,90.88003136313947,7.453773348948236,-1017.1119258016511,53.10305808005137,-793.1165413621998,-1143.4322677394928,-179.07811265154294,PL17_112nigbel-l1-s4-f4-c2-d1.png
