PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
-9073.89194784154;3911.36619089916;1021.55501845413;-6087.70409449513;-3545.6631296548;-1613.16168991642;333.140278078059;-4427.33697841272;802.239763730848;-1115.12081383787;2412.36304229373;-2125.90062683687;-652.708120356717;-2581.56065996591;-996.521078537286;PL17_088abebel-l3-s4-f4-c2-d1.png;PL17_88abebel;bel;abe;PL17_088abebel-l3-s4-f4-c2-d1
-28141.598355249;-6354.10450538134;2909.97332439612;20488.6212932652;3352.23440988025;3215.36419746631;2470.99291159829;-2795.80704168805;381.281101826164;-872.165481572184;181.459328952394;-871.409870676705;501.270654086687;-828.515913679649;1147.47367768491;PL17_095maybel-l11-s4-f4-c2-d1.png;PL17_95maybel;bel;may;PL17_095maybel-l11-s4-f4-c2-d1
643.088519305689;22735.4046116797;-15994.5292961421;2225.68607183691;-5658.98053627733;6082.41376711609;-1274.11271300198;1002.60831686045;-2710.92648341366;-1338.76489204825;-2788.88808188436;1397.48435117729;-1319.25727990007;1430.52589127876;-1033.97772221528;PL17_62puepor-l1-s3-f3-c2-d1.png;PL17_62chlpue;pue;chl;PL17_62puepor-l1-s3-f3-c2-d1
-3000.83807314757;20125.0243160214;4868.71687823041;-7461.13967861842;-2850.55649731415;5781.95576012759;-1025.47981357955;-4790.20917364555;16708.6417665208;1368.91192011679;-4926.31404271612;4192.05811925721;-1829.3877387595;-3395.63503815315;3334.66769327411;PL17_68gutpor-l1-s3-f3-c2-d1.png;PL17_68gutpue;pue;gut;PL17_68gutpor-l1-s3-f3-c2-d1
-28061.1436521683;-6300.8314751203;3120.20384177757;13328.3751257597;2066.70462087195;975.079461006048;2282.19807533177;-2871.94940142403;-44.5140947405515;-189.515631371493;-45.7011208847398;-726.987373449037;-899.06155151524;-985.607790973472;518.217684715157;PL17_123maybel-l3-s4-f4-c2-d1.png;PL17_123maybel;bel;may;PL17_123maybel-l3-s4-f4-c2-d1
34747.4780390201;-16605.0315958379;-19206.1910085016;-6246.25841389567;13884.1432484436;-749.393596902804;525.576921753666;-1911.5538149024;-2227.23645336447;1674.90308862595;-3090.7799892813;2554.08939620078;195.58450795836;1824.00032108854;-633.753219786959;PL17_103puebel-l1-s4-f4-c2-d1.png;PL17_103puebel;bel;pue;PL17_103puebel-l1-s4-f4-c2-d1
16510.0473272072;-23857.2735183166;-1871.5728508728;-4731.84943673667;-10661.6356600265;-904.215163109182;-1201.28508283472;694.203533424356;-558.025860446956;1299.8250737813;-4372.35133109427;1259.77405589492;-895.523618047188;547.621500121638;-125.157325499087;PL17_135uniflo-l6-s4-f4-c2-d1.png;PL17_135uniflo;flo;uni;PL17_135uniflo-l6-s4-f4-c2-d1
14594.6296823192;-18627.2474352975;-3039.80658231407;-4487.47006178;-7741.35730578376;-1123.62544652085;-4173.8589687344;-1115.81648114316;-2235.0123630282;1398.97586400675;-499.740367579506;1690.42198631122;1526.82335479617;653.485630845376;1174.89426068336;PL17_140uniflo-l1-s4-f4-c2-d1.png;PL17_140uniflo;flo;uni;PL17_140uniflo-l1-s4-f4-c2-d1
-30695.2144382504;570.534037545032;4504.80117091851;-5560.80218961939;-1491.51307120117;-4834.72640488176;1300.88978292109;1765.52031403954;-1165.01324564663;236.181530997663;1115.36342195738;587.398286420309;76.4129717290232;815.63757036853;150.941887217659;PL17_23nigpor-l1-s1-f3-c2-d1.png;PL17_23tanpue;pue;tan;PL17_23nigpor-l1-s1-f3-c2-d1
-15980.1634894812;-8471.76224605586;278.401795529652;11523.5997627922;-145.966199950729;382.207935759106;1693.87060814468;-146.824020416104;903.663356010854;-384.457749756352;622.637394875754;-2.01602266814478;419.877483335138;1180.881116873;814.524240368806;PL17_120maybel-l5-s4-f4-c2-d1.png;PL17_120maybel;bel;may;PL17_120maybel-l5-s4-f4-c2-d1
28244.5616935643;16869.8836169614;3861.8169315989;3524.80363316762;-6969.43319200797;-2411.91549435345;2662.93928981396;3342.79783355285;-1130.66031991487;-4789.02996069701;-1674.08220331944;3791.48828725919;1337.95455003389;-2640.06360950337;-2712.16549097506;PL17_55unipor-l1-s3-f3-c2-d1.png;PL17_55unipue;pue;uni;PL17_55unipor-l1-s3-f3-c2-d1
-22319.5026507135;-6377.92736386536;3373.19376260731;-4689.65679005451;-1672.611556357;-924.226005180383;2751.62645145111;1229.19151396428;878.733318810648;1878.801385528;-237.184160167709;-1354.22974021859;-1875.11876030729;437.407055864621;-557.039603449697;PL17_093nigbel-l1-s4-f4-c2-d1.png;PL17_93nigbel;bel;nig;PL17_093nigbel-l1-s4-f4-c2-d1
26537.4334935855;13168.4323193011;-21186.5854599463;1922.27167762961;8383.14396086437;-6033.41819131684;-3153.07112194862;-1375.28517673818;-852.834205227919;-2013.98406648151;914.870029402684;2969.84213633908;-3382.72592217872;3203.92821530016;-1733.24540575808;PL17_60puepor-l1-s3-f3-c2-d1.png;PL17_60puepue;pue;pue;PL17_60puepor-l1-s3-f3-c2-d1
