PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
3194.40477418661;-2779.40552305409;-3260.91124815788;2029.1138492908;802.868909754748;-1559.37890088381;-803.79362794864;1117.97953559488;382.033569258382;-746.483471786066;-263.668311826945;-491.142387259402;-169.827496963447;636.793090855616;-293.393398697805;PL17_127indbel-l6-s4-f4-c2-d1.png;PL17_127indbel;bel;ind;PL17_127indbel-l6-s4-f4-c2-d1
-12180.5533305104;-2001.78494721805;3484.44975356931;1062.03066359881;1038.91042108443;101.019186940023;-211.683181089537;-835.661147138146;99.8823636301272;-649.671096135297;-850.877485564944;162.754808965408;372.873219236493;-149.447411959488;-1005.53685161343;PL17_137uniflo-l4-s4-f4-c2-d1.png;PL17_137uniflo;flo;uni;PL17_137uniflo-l4-s4-f4-c2-d1
-11543.7556919385;2308.01633015573;3041.414471216;1134.55144094176;3125.80353539138;773.990896551785;-863.385756992644;-499.278888912151;1380.36271268069;2256.68486657001;-209.725841424108;-125.874863718934;563.42168498235;213.653423798712;638.469214490288;PL17_139pueflo-l1-s4-f4-c2-d1.png;PL17_139pueflo;flo;pue;PL17_139pueflo-l1-s4-f4-c2-d1
-8211.50432580234;604.162586702533;-1361.66600762348;-441.712950435366;-225.229281831481;935.588013035069;1651.50026304028;97.4815301824536;-201.826698011597;266.41158359993;555.612941199636;361.664344663047;-381.224658242851;240.274468959318;713.914833322305;PL17_160pueflo-l1-s4-f4-c2-d1.png;PL17_160floflo;flo;flo;PL17_160pueflo-l1-s4-f4-c2-d1
2528.76730598121;-447.194213074376;-881.753848765261;1862.96515032075;-3009.41801717789;-433.430836228613;627.675188410607;3443.52532377757;-153.893955984056;1003.27113839996;-924.441820648654;-1804.95116972652;-135.408878765953;432.302285601474;-134.346298911417;PL17_132indbel-l2-s4-f4-c2-d1.png;PL17_132indbel;bel;ind;PL17_132indbel-l2-s4-f4-c2-d1
-12951.6215831111;5277.22627497267;-539.272780553118;1534.70942544651;1629.44390822929;-610.954966860893;587.786840261566;-495.927879687949;-328.712092429711;753.702756577141;-306.623708007669;526.593107712166;-463.775700927593;-310.743000753796;-2297.30484695816;PL17_110puebel-l1-s4-f4-c2-d1.png;PL17_110puebel;bel;pue;PL17_110puebel-l1-s4-f4-c2-d1
-17275.4489403231;-3216.81170652089;2958.29108239697;339.243978684207;190.94923903695;-881.88584718183;406.491278008404;-799.815566518905;295.823524366332;16.5324087463902;249.264853672559;-312.254337855603;-881.06188219628;76.8984597333901;-219.536979352302;PL17_136uniflo-l5-s4-f4-c2-d1.png;PL17_136uniflo;flo;uni;PL17_136uniflo-l5-s4-f4-c2-d1
-1684.0535140051;-1346.75459640774;-2661.26321815531;-2501.74858720367;302.704847739689;-931.264075688238;150.804634871173;-937.884580107003;-67.8520809361843;210.307674914247;-316.364553767089;40.8490999191355;-104.790327835799;-248.766096062178;125.550658006786;PL17_087nigbel-l4-s4-f4-c2-d1.png;PL17_87nigbel;bel;nig;PL17_087nigbel-l4-s4-f4-c2-d1
-11902.4831248535;-3713.08908099924;2543.83514857616;-412.962936371121;286.77434243489;-1324.36583624853;-48.6729383012748;-1137.1816965206;-68.9882863562082;-495.713400278131;-692.413461247723;545.591083331226;598.891863797425;326.475627377902;-200.426526411116;PL17_135uniflo-l6-s4-f4-c2-d1.png;PL17_135uniflo;flo;uni;PL17_135uniflo-l6-s4-f4-c2-d1
-1667.68937038573;-2175.70795997826;-1931.09264457511;-2781.64047838104;-433.598602853541;-570.960819719986;259.674376240949;-317.121436458669;-179.948420618728;111.771909631618;-20.7000951970055;-184.269576540489;-332.408965737679;-114.311222696765;325.438942960828;PL17_093nigbel-l1-s4-f4-c2-d1.png;PL17_93nigbel;bel;nig;PL17_093nigbel-l1-s4-f4-c2-d1
862.35217519419;-2376.32491702355;-337.1281784923;-1872.83492421964;-833.910521613741;-815.14139123757;-297.992884438817;-265.070671483384;-400.039094295443;255.822128991938;8.32077191375292;33.0706330822002;-56.2688286522955;-83.6565653025864;489.894422999791;PL17_112nigbel-l1-s4-f4-c2-d1.png;PL17_112nigbel;bel;nig;PL17_112nigbel-l1-s4-f4-c2-d1
-1008.85424809114;-1489.19099640658;-2471.70489142679;-2583.64578809247;157.578714804108;-826.827018189744;98.9160043583412;-759.4715073969;-72.2057787378881;203.544503701742;-220.830427552915;7.52674710385911;-141.054130314803;-240.192669630313;102.924593070478;PL17_108nigbel-l1-s4-f4-c2-d1.png;PL17_108nigbel;bel;nig;PL17_108nigbel-l1-s4-f4-c2-d1
-18336.452694842;8503.80882387956;-1690.95933597613;-907.101925801046;-493.412583881556;-924.054293476887;-3018.36227626116;-1803.68623377483;804.652605002987;-1800.59761648414;2.68479972442327;-2163.84526711646;6.20061834848579;874.858371053709;823.767439302197;PL17_109puebel-l2-s4-f4-c2-d1.png;PL17_109puebel;bel;pue;PL17_109puebel-l2-s4-f4-c2-d1
21180.2935129761;1166.43204217573;-139.758583513979;3243.92863241795;-3028.99842827773;-430.259573382369;62.9521185087553;-1731.17980216405;273.537562811676;29.0467805590295;-2046.14880138608;1297.07590551147;-755.549768515113;828.214417693463;2466.30223257886;PL17_089maybel-l3-s4-f4-c2-d1.png;PL17_89maybel;bel;may;PL17_089maybel-l3-s4-f4-c2-d1
11378.54816786;462.810903914549;692.074508388981;-160.239166950735;-1226.62261901683;-1765.04815311158;540.024642245152;-451.36585852974;-1270.9460664557;-387.195781808224;-41.8867336279048;743.900058150522;-33.2422912251856;1222.53826627451;-46.3629063253489;PL17_120maybel-l5-s4-f4-c2-d1.png;PL17_120maybel;bel;may;PL17_120maybel-l5-s4-f4-c2-d1
-502.651788351077;-1897.25084000086;-2537.6156376541;569.009798559202;-825.024848488204;-899.199025884372;165.812661681989;192.917121062331;-760.732271953335;932.404006595172;-654.167603540369;-284.022138602632;752.311984979782;-471.285913792489;-1248.50306575994;PL17_100indbel-l4-s4-f4-c2-d1.png;PL17_100indbel;bel;ind;PL17_100indbel-l4-s4-f4-c2-d1
-11346.504800918;-2397.62833284185;3099.48909376796;1476.02354571017;-217.959000874867;-187.832588236943;689.437241691479;-127.906958000851;-50.8631082476049;-114.518708143444;1192.40296229315;-3.75597940701565;-613.411611117815;357.919628401098;-197.579017910655;PL17_143uniflo-l4-s4-f4-c2-d1.png;PL17_143uniflo;flo;uni;PL17_143uniflo-l4-s4-f4-c2-d1
-4663.71814643049;-719.580952569241;-1660.40621985912;-2213.96812296864;280.767581653971;-248.853399406365;308.333789819023;-356.446350509089;166.103779073307;198.863069283622;-35.4939681514204;-349.531184454637;-252.463882066768;60.5208195753968;-101.044189045017;PL17_104nigbel-l1-s4-f4-c2-d1.png;PL17_104nigbel;bel;nig;PL17_104nigbel-l1-s4-f4-c2-d1
27321.3362111793;4494.61271924993;4734.36618897076;-253.214586929203;2400.39474608886;-1176.07240384702;681.412977987907;-416.321317737985;-851.311024443615;669.707416424452;-865.52486145337;-1020.67215975507;855.586951285115;3502.59104345927;-291.629978741042;PL17_121maybel-l5-s4-f4-c2-d1.png;PL17_121maybel;bel;may;PL17_121maybel-l5-s4-f4-c2-d1
16000.4472559036;1438.4367167516;1955.5642830685;-3238.42441443586;-152.890040297844;-505.308195662455;-315.531526821833;2702.74228602619;2635.76269268941;-1964.85450378446;-737.827059743768;3424.39470024199;701.601379954693;168.45422549164;169.808562439404;PL17_124maybel-l4-s4-f4-c2-d1.png;PL17_124maybel;bel;may;PL17_124maybel-l4-s4-f4-c2-d1
