PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
-13385.8868154004;-1607.013875243;-623.047548169729;-465.55603135371;-322.435838930064;525.391741428517;-125.875568403831;-74.4630356879646;-73.6436065183988;29.9808513012613;-645.951159090737;-143.453305292005;-212.945290744893;41.3089069407252;227.571422585274;28388uniboc-l1-s1-f1-c2-d0.png;28388uniboc;boc;uni;28388uniboc-l1-s1-f1-c2-d0
6441.99823278086;14731.8699634062;4585.00078130093;13110.6157147247;2225.48413219509;-8331.78005900564;-4078.76223059649;5430.1458851111;-1883.69952294097;-1581.28685745839;2567.13226828537;-94.9628524751093;961.041141518781;-16533.1780130447;-849.455899365617;PL17_127indbel-l6-s4-f4-c2-d1.png;PL17_127indbel;bel;ind;PL17_127indbel-l6-s4-f4-c2-d1
-11928.1057374293;-809.744112254183;91.8720997862232;-501.453693509833;12.1608479766912;108.83002593349;1045.32478040205;-160.597151724363;-107.337395953091;27.3240150460599;-130.009543279418;439.054914051979;-150.46539621584;325.589670339838;-322.144654603349;PL17_137uniflo-l4-s4-f4-c2-d1.png;PL17_137uniflo;flo;uni;PL17_137uniflo-l4-s4-f4-c2-d1
-11335.8623028386;-630.052419686024;216.237335135895;-242.067808959618;-56.4576553862982;-608.826294373348;705.241215723429;47.3724500773568;-35.7913340355911;262.282203410502;456.988832336328;153.262838757201;307.218612789044;-222.465524848824;-187.669453848177;PL17_139pueflo-l1-s4-f4-c2-d1.png;PL17_139pueflo;flo;pue;PL17_139pueflo-l1-s4-f4-c2-d1
-12349.5807269979;-693.863619518868;-360.01150149403;-97.3586340657148;-53.4029932030909;321.655477472806;163.821690237202;-31.1863767133415;120.968105156998;260.506398910356;-402.73507208262;-261.53233075318;60.5223562586698;237.905272354145;-276.067482675451;PL17_160pueflo-l1-s4-f4-c2-d1.png;PL17_160floflo;flo;flo;PL17_160pueflo-l1-s4-f4-c2-d1
-13093.997741892;-1445.71175679681;-584.345412543977;-334.296095454794;-222.219804481576;362.866321771209;85.7083205255241;-184.121434605306;-88.4425576615735;-28.9834575043445;-541.432765785441;-36.0427719869369;-125.99333089336;78.6060819810404;269.358069246711;PL17_74unipor-l1-s3-f3-c2-d1.png;PL17_74unipue;pue;uni;PL17_74unipor-l1-s3-f3-c2-d1
-13297.9092778757;-1559.78142669061;-604.945459468587;-545.195791304813;-238.622198866733;595.384782040754;-61.373296570773;-87.5419122379395;-18.305712965149;33.3939161273563;-704.715862572809;-145.81674893612;-157.378184634807;182.48024399096;118.927989284873;PL17_04pueboc-l1-s2-f1-c2-d0.png;PL17_04pueboc;boc;pue;PL17_04pueboc-l1-s2-f1-c2-d0
-433.808461500609;8855.1311747462;8797.08431607542;3665.11461234344;-1352.5094318492;-3743.01788627903;1586.91921514829;-68.9948057066507;-1288.69011048038;969.932385282681;9819.33365100564;2592.81564929857;2541.27502366978;-365.752343390464;-3021.12713499691;PL17_132indbel-l2-s4-f4-c2-d1.png;PL17_132indbel;bel;ind;PL17_132indbel-l2-s4-f4-c2-d1
-11977.8437970083;-1241.63382611367;253.890196754826;-478.148426525755;-100.611317236954;-260.036322153122;524.597312262909;61.2817542671791;-345.458550117515;59.6464814048046;-37.3894020816672;405.790471319172;-205.5694708739;-122.493504259291;-116.006123552397;PL17_110puebel-l1-s4-f4-c2-d1.png;PL17_110puebel;bel;pue;PL17_110puebel-l1-s4-f4-c2-d1
-13232.8894445005;-1493.86960229623;-594.894313371177;-432.441984813939;-187.646566292068;537.938815142311;47.6288113896445;-196.877841709685;-101.937546104849;-84.2763830181044;-632.814703501215;-69.2422496898664;-155.846286672211;122.64000901772;233.933877436085;PL17_70unipor-l1-s3-f3-c2-d1.png;PL17_70unipue;pue;uni;PL17_70unipor-l1-s3-f3-c2-d1
